CustomerID,Cluster
C0001,1
C0002,1
C0003,1
C0004,0
C0005,3
C0006,1
C0007,1
C0008,2
C0009,3
C0010,1
C0011,1
C0012,2
C0013,2
C0014,3
C0015,3
C0016,1
C0017,2
C0018,2
C0019,1
C0020,3
C0021,2
C0022,2
C0023,2
C0024,1
C0025,3
C0026,1
C0027,1
C0028,0
C0029,1
C0030,1
C0031,1
C0032,3
C0033,3
C0034,1
C0035,1
C0036,3
C0037,2
C0038,1
C0039,2
C0040,1
C0041,0
C0042,3
C0043,3
C0044,1
C0045,0
C0046,2
C0047,1
C0048,1
C0049,1
C0050,1
C0051,2
C0052,1
C0053,2
C0054,0
C0055,1
C0056,1
C0057,2
C0058,3
C0059,0
C0060,3
C0061,3
C0062,3
C0063,3
C0064,1
C0065,0
C0066,1
C0067,2
C0068,0
C0069,1
C0070,1
C0071,3
C0072,1
C0073,1
C0074,1
C0075,0
C0076,1
C0077,3
C0078,3
C0079,1
C0080,3
C0081,1
C0082,0
C0083,3
C0084,2
C0085,1
C0086,1
C0087,0
C0088,1
C0089,1
C0090,2
C0091,2
C0092,1
C0093,2
C0094,3
C0095,3
C0096,2
C0097,3
C0098,1
C0099,0
C0100,2
C0101,2
C0102,0
C0103,3
C0104,0
C0105,2
C0106,1
C0107,1
C0108,2
C0109,0
C0110,3
C0111,1
C0112,3
C0113,2
C0114,2
C0115,1
C0116,1
C0117,1
C0118,1
C0119,3
C0120,1
C0121,3
C0122,2
C0123,3
C0124,2
C0125,1
C0126,2
C0127,1
C0128,3
C0129,1
C0130,3
C0131,3
C0132,3
C0133,1
C0134,1
C0135,1
C0136,2
C0137,1
C0138,2
C0139,1
C0140,3
C0141,0
C0142,1
C0143,0
C0144,3
C0145,2
C0146,1
C0147,1
C0148,2
C0149,2
C0150,3
C0151,3
C0152,1
C0153,2
C0154,1
C0155,2
C0156,0
C0157,1
C0158,1
C0159,3
C0160,1
C0161,1
C0162,2
C0163,2
C0164,1
C0165,0
C0166,1
C0167,1
C0168,2
C0169,2
C0170,2
C0171,2
C0172,1
C0173,2
C0174,1
C0175,0
C0176,1
C0177,1
C0178,1
C0179,1
C0181,1
C0182,2
C0183,1
C0184,1
C0185,1
C0186,3
C0187,1
C0188,0
C0189,1
C0190,1
C0191,1
C0192,3
C0193,1
C0194,1
C0195,2
C0196,2
C0197,1
C0198,3
C0199,1
C0200,2
